지금, 만나러 갑니다
10,내 10,20,30대를 통틀어 최고로 좋아하는 영화였는데다케우치 유코님 떠났다는 소식 듣고 매우 충격입니다.명복을 빕니다.
10,다케우치 유코, 당신이 많이 그리울 겁니다.삼가 고인의 명복을 빕니다.
10,
9,
10,내 20대의 감성 영화다시 또 보고싶다
10,이런 말은 좀 그렇지만 진짜 지금 만나러 갑니다 실사판 찍으러 가셨네
10,비의 계절과 함께 가버린 그녀... 다시 비가 내리면 돌아와 줄까요.지금 다시 그녀를 만나러 갑니다. 안녕, 다케우치 유코..
10,이제는 정말 돌아올 수 없는 곳으로 가버리셨군요. 부디 그곳에선 아프지마시고 편안하시길...당신은 언제나 빛나는 별이었습니다.
10,수백편의 영화를 보아왔지만 내 인생 최고의 영화...내인생 최고의 배우...앞으로도 다시 없을,다시 있지 않을 최고의 영화,배우....비의 계절이 올때마다 당신이 그리울것입니다...ㅠㅠ
10,다케우치 유코님 이 영화를 고1때 보고 당신의 팬이 된지 벌써 13년이 흘렀습니다... 최근까지도 당신이 출연한 모든 작품을 다시 한 번 보면서 옛 추억이 생각나 설레었습니다. 누구보다 아름다운 미소를 가졌던 당신.. 좋은 기억만 남겨주셔서 고마웠고 계속해서 기억할겁니다. 이제는 하늘나라에서 그간 겪었던 슬픔과 고통 모두 잊으시고 가장 행복한 미소로 계시길 바라겠습니다..
10,오열.... 남편과 다시 볼거에요
10,내 인생 최고의 영화! 글로 표현할수없도록 아련한 그런 영화! 하늘에서 편히 쉬어요! 고마워요!
10,그대여 그곳에서 행복하길 ㅜㅜ 유코누님 그립습니당 ㅜㅜ
10,아 유코님...2005년에 처음 영화 '지금 만나러 갑니다'를 보고 지금까지 인생 영화였고, 얼마 전 재개봉 때 혼자 극장에서 다시 보고 눈물 펑펑 쏟았는데...부디 하늘에서 평안하시길...
10,그 시절을 추억하며 고인의 명복을 빕니다 그곳에서는 늘 평안하길 바라겠습니다...고마웠습니다
10,
10,다케우치 유코 배우님!! 누구나 가는 길이지만 일찍 가셨네요.삼가고인의 명복을 빕니다.
10,다케우치유코님 그곳에선 행복하시길
10,내 고등학생때 따뜻한 감정을 전달해준 영화 그리고 배우.. 잘가요 아카이브 별에선 행복해야해요
10,하....왜...대체왜...부디 하늘나라에서는 행복하셨으면 좋겠습니다..
10,삼가고인의 명복을 빕니다..내 10대 최고의 영화였어요
10,제 인생 영화중 하나였어요. 다케우치 유코. 그녀의 명복을 빕니다.
10,이젠 그녀를 이젠 만날수 없다
10,2년전 우연히 접한 유코의 첫 작품. 그 뒤로 폭풍처럼 지금까지 일본 영상에 관심을 갖게 한 배우였는데... 따스한 봄날 흩날리는 하얀 벚꽃과 같은 순백의 여배우! 영혼이 평온하기를...
10,먼훗날 팬으로 만나러 가겠습니다
